,0
PC43,0.16373017322962555
PC2,0.09468866353988044
PC10,0.047653990601289865
PC7,0.045834384381557056
PC20,0.04145168684799998
PC32,0.03125592264361185
PC4,0.025711234073280465
PC30,0.02318243121001347
PC33,0.023021455886447707
PC39,0.022647764675864598
PC23,0.021985969862369333
PC15,0.020552393197577682
PC13,0.020346576157109008
PC25,0.01834836350179776
PC42,0.01806425430804242
PC34,0.018041016903146925
PC41,0.017849918686443807
PC1,0.01769824896854974
PC3,0.017304014979217498
PC5,0.01655310042895455
PC38,0.01649519783038283
PC22,0.016102893210350556
PC37,0.015876663937105823
PC36,0.01509706178889264
PC21,0.014249003376190164
PC19,0.014234055091024607
PC8,0.01422235476255698
PC29,0.014043897034380573
PC11,0.013330242417060066
PC35,0.013271030302845137
PC18,0.012508295627261143
PC24,0.012502074756377568
PC40,0.012396626648058486
PC14,0.012153476565040384
PC28,0.01203176052667381
PC9,0.011815043477718789
PC12,0.011708446720322114
PC31,0.011600167046879743
PC6,0.010684487229317948
PC26,0.010335730152617705
PC17,0.009977634333064315
PC27,0.009888794365601989
PC16,0.009553498717496911
